,Open
313,400.62
314,391.56
315,387.92
316,386.3
317,390.0
318,394.96
319,394.52
320,391.51
321,391.83
322,391.91
323,391.21
324,383.14
325,398.81
326,399.0
327,402.55
328,406.6
329,402.29
330,400.13
331,407.97
332,410.09
333,408.52
334,416.92
335,422.55
336,429.89
337,426.9
338,433.79
339,436.02
340,437.8
341,437.11
342,446.08
343,457.78
344,453.31
345,450.81
346,452.31
347,449.59
348,436.86
349,436.0
350,440.1
351,436.22
352,433.34
353,432.44
354,434.87
355,432.3
356,429.64
357,430.54
358,433.58
359,439.4
360,440.33
361,441.08
362,432.87
363,438.41
364,437.97
365,442.67
366,449.0
367,445.33
368,442.51
369,434.31
370,436.99
371,435.24
372,437.76
373,435.82
374,441.57
375,443.44
376,438.31
377,443.34
378,447.93
379,453.8
380,450.04
381,454.8
382,458.28
383,460.42
384,461.83
385,458.78
386,457.78
387,441.65
388,449.32
389,453.65
390,451.94
391,445.27
392,441.84
393,440.8
394,441.08
395,444.83
396,445.83
397,450.03
398,451.0
399,450.66
400,445.85
401,446.07
402,443.62
403,441.79
404,441.76
405,437.54
406,430.61
407,429.03
408,427.25
409,432.55
410,433.7
411,434.72
412,437.28
413,433.38
414,428.2
415,423.54
416,422.95
417,426.28
418,425.58
419,428.57
420,435.12
421,439.57
422,440.21
423,443.35
424,442.61
425,447.02
426,445.58
427,446.43
428,442.05
429,441.52
430,451.3
431,447.52
432,446.4
433,441.59
434,441.62
435,437.51
436,435.78
437,432.92
438,438.48
439,439.72
440,442.34
441,435.87
442,432.11
443,431.04
444,426.54
445,430.31
446,431.4
447,431.71
448,436.24
449,441.28
450,444.83
451,486.47
452,503.84
453,500.62
454,498.63
455,514.01
456,512.49
457,505.7
458,507.65
459,516.78
460,512.54
461,513.97
462,513.82
463,508.27
464,510.89
465,509.4
466,502.49
467,502.87
468,501.97
469,501.5
470,515.03
471,515.5
472,515.94
473,513.93
474,513.05
475,511.58
476,514.78
477,516.64
478,522.34
479,529.03
480,529.1
481,529.77
482,523.51
483,523.72
484,526.63
485,532.9
486,533.5
487,536.07
488,541.67
489,537.77
490,535.69
491,530.01
492,534.41
493,533.92
494,538.37
495,542.12
496,551.85
497,555.4
498,554.92
499,557.91
500,558.08
501,554.04
502,555.65
503,555.42
504,554.43
505,560.4
506,570.86
507,569.59
508,567.41
509,561.13
510,566.85
511,574.34
512,572.4
513,576.27
514,578.3
515,581.13
516,577.83
517,573.36
518,560.95
519,553.09
520,557.47
521,570.36
522,583.49
523,587.4
524,566.87
525,569.56
526,573.42
527,581.63
528,583.71
529,587.88
530,592.28
531,588.17
532,595.57
533,598.46
534,600.4
535,599.32
536,601.65
537,600.43
538,605.7
539,609.71
540,606.92
541,607.89
542,601.12
543,605.23
544,605.26
545,608.86
546,611.11
547,605.58
548,604.62
549,595.97
550,601.72
551,588.79
552,587.42
553,595.1
554,603.64
555,597.73
556,600.9
557,589.88
558,580.82
559,578.84
560,566.44
561,559.66
562,565.34
563,557.18
564,598.35
565,568.29
566,573.08
567,539.26
568,541.11
569,558.09
570,563.45
571,531.09
572,536.78
573,535.35
574,541.51
575,547.31
576,534.63
577,527.19
578,532.33
579,528.62
580,521.08
581,515.76
582,515.48
583,526.16
584,525.67
585,532.3
586,523.38
587,523.79
588,514.38
589,507.07
590,509.35
591,522.08
592,529.44
593,531.54
594,524.26
595,519.96
596,518.28
597,528.29
598,531.44
599,539.65
600,545.76
601,554.48
602,563.02
603,561.81
604,559.26
605,559.16
606,549.48
607,540.02
608,544.9
609,556.53
610,555.62
611,558.98
612,556.47
613,555.77
614,550.75
615,547.76
616,542.71
617,543.37
618,552.72
619,555.33
620,553.63
621,563.64
622,563.71
623,579.41
624,575.6
625,577.08
626,576.74
627,581.75
628,581.75
629,582.16
630,576.08
631,570.02
632,564.36
633,570.34
634,581.0
635,584.14
636,586.39
637,577.94
638,591.38
639,590.13
640,589.1
641,591.61
642,594.82
643,588.78
644,586.46
645,587.14
646,584.94
647,579.01
648,568.84
649,567.48
650,568.49
651,560.24
652,566.44
653,562.02
654,568.43
655,562.97
656,565.76
657,574.6
658,576.28
659,574.53
660,583.4
661,584.28
662,582.22
663,581.99
664,583.12
665,579.67
666,575.69
667,568.0
668,569.77
669,570.28
670,578.41
671,578.41
672,582.38
673,584.99
674,587.29
675,579.91
676,578.77
677,579.41
678,571.37
679,571.19
680,578.42
681,585.39
682,589.88
683,592.19
684,585.24
685,579.87
686,585.94
687,574.48
688,570.18
689,575.35
690,574.43
691,565.76
692,571.48
693,577.22
694,572.83
695,564.02
696,569.62
697,556.19
698,543.5
699,537.42
700,529.56
701,517.58
702,525.81
703,508.06
704,523.75
705,528.44
706,537.84
707,542.87
708,535.56
709,541.51
710,548.49
711,547.45
712,557.82
713,553.98
714,551.49
715,555.28
716,544.01
717,544.71
718,539.98
719,546.99
720,548.88
721,548.29
722,545.18
723,542.09
724,536.03
725,533.54
726,529.8
727,540.13
728,536.18
729,537.52
730,539.4
731,539.14
732,537.42
733,532.05
734,529.98
735,529.71
736,529.55
737,525.69
738,520.71
739,531.62
740,526.35
741,522.08
742,521.31
743,510.16
744,495.64
745,511.55
746,510.11
747,514.67
748,525.56
749,529.06
750,527.32
751,530.73
752,526.64
753,529.8
754,527.56
755,521.83
756,513.59
757,505.61
758,496.63
759,503.38
760,493.58
761,497.47
762,493.3
763,504.19
764,498.64
765,509.6
766,505.86
767,520.05
768,534.12
769,537.06
770,528.52
771,521.35
772,509.6
773,514.45
774,530.27
775,526.55
776,527.79
777,522.36
778,526.2
779,526.55
780,527.85
781,533.83
782,535.78
783,541.86
784,545.33
785,539.92
786,536.57
787,541.64
788,534.58
789,528.55
790,534.43
791,541.72
792,552.72
793,559.0
794,568.89
795,570.3
796,573.45
797,573.31
798,565.31
799,562.71
800,553.62
801,551.99
802,551.98
803,549.44
804,550.2
805,550.99
806,557.86
807,560.11
808,558.9
809,561.02
810,568.94
811,556.06
812,551.49
813,550.11
814,548.49
815,547.1
816,539.37
817,530.76
818,536.61
819,536.91
820,539.55
821,540.81
822,536.94
823,534.78
824,527.25
825,528.45
826,527.21
827,524.16
828,536.04
829,532.94
830,539.52
831,564.55
832,563.39
833,554.64
834,550.47
835,547.87
836,538.43
837,538.53
838,538.21
839,531.24
840,523.99
841,536.65
842,538.37
843,531.6
844,530.56
845,533.77
846,539.18
847,532.01
848,533.98
849,538.49
850,537.95
851,540.15
852,538.12
853,532.8
854,538.01
855,537.37
856,536.79
857,532.93
858,539.91
859,537.76
860,536.35
861,533.31
862,527.56
863,529.36
864,538.42
865,531.6
866,528.0
867,528.4
868,529.37
869,531.0
870,537.21
871,539.59
872,539.64
873,540.0
874,538.87
875,537.26
876,525.01
877,526.02
878,524.73
879,521.08
880,519.5
881,523.13
882,521.05
883,523.12
884,526.29
885,532.88
886,546.76
887,560.13
888,565.12
889,649.0
890,659.24
891,655.21
892,660.89
893,661.27
894,647.0
895,621.0
896,632.83
897,628.8
898,630.0
899,631.38
900,625.34
901,628.42
902,634.33
903,645.0
904,640.23
905,639.48
906,669.2
907,663.08
908,659.32
909,655.01
910,656.8
911,661.9
912,656.6
913,655.46
914,639.78
915,573.0
916,614.91
917,610.35
918,639.4
919,632.82
920,627.54
921,602.36
922,605.59
923,617.0
924,600.0
925,612.49
926,621.22
927,613.1
928,619.75
929,625.7
930,626.7
931,635.47
932,637.79
933,636.79
934,634.4
935,627.0
936,622.05
937,616.64
938,629.77
939,610.34
940,597.28
941,603.28
942,608.37
943,607.2
944,632.0
945,638.84
946,649.24
947,641.36
948,640.0
949,642.09
950,643.15
951,653.21
952,654.66
953,664.11
954,661.18
955,664.04
956,654.15
957,646.7
958,727.5
959,701.55
960,707.38
961,707.33
962,710.5
963,715.73
964,711.06
965,718.86
966,722.0
967,729.47
968,731.5
969,730.2
970,724.4
971,732.46
972,731.0
973,729.17
974,715.6
975,729.29
976,727.58
977,738.74
978,746.53
979,757.45
980,752.0
981,748.14
982,748.46
983,748.81
984,747.11
985,768.9
986,766.01
987,753.1
988,767.77
989,757.89
990,759.17
991,752.85
992,741.16
993,741.79
994,753.0
995,750.0
996,762.42
997,746.51
998,746.13
999,751.65
1000,753.47
1001,749.55
1002,752.92
1003,766.69
1004,776.6
1005,769.5
1006,743.0
1007,746.45
1008,730.0
1009,730.31
1010,731.45
1011,716.61
1012,721.68
1013,730.85
1014,705.38
1015,692.29
1016,703.3
1017,688.61
1018,702.18
1019,723.6
1020,723.58
1021,713.85
1022,713.67
1023,722.22
1024,731.53
1025,750.46
1026,784.5
1027,770.22
1028,722.81
1029,703.87
1030,667.85
1031,672.32
1032,686.86
1033,675.0
1034,690.26
1035,692.98
1036,698.09
1037,710.0
1038,695.03
1039,707.45
1040,701.45
1041,688.92
1042,700.01
1043,708.58
1044,700.32
1045,703.62
1046,719.0
1047,718.68
1048,714.99
1049,706.9
1050,688.59
1051,698.47
1052,708.12
1053,720.0
1054,726.81
1055,726.92
1056,726.37
1057,736.45
1058,741.86
1059,736.5
1060,737.46
1061,742.36
1062,732.01
1063,736.79
1064,734.59
1065,750.1
1066,749.25
1067,738.6
1068,750.06
1069,738.0
1070,735.77
1071,745.37
1072,743.97
1073,743.02
1074,738.0
1075,749.16
1076,754.01
1077,753.98
1078,760.46
1079,769.51
1080,758.0
1081,755.38
1082,726.3
1083,716.1
1084,725.42
1085,707.29
1086,708.26
1087,690.7
1088,697.63
1089,696.87
1090,690.49
1091,697.7
1092,698.38
1093,712.0
1094,716.75
1095,723.41
1096,717.06
1097,711.93
1098,709.13
1099,715.99
1100,703.67
1101,702.36
1102,701.62
1103,706.53
1104,706.86
1105,720.76
1106,722.87
1107,724.01
1108,731.74
1109,734.53
1110,732.5
1111,729.27
1112,724.91
1113,719.84
1114,723.96
1115,722.87
1116,719.47
1117,716.51
1118,716.48
1119,719.0
1120,714.91
1121,708.65
1122,698.77
1123,698.4
1124,699.06
1125,697.45
1126,675.17
1127,671.0
1128,678.97
1129,683.0
1130,685.47
1131,692.2
1132,696.06
1133,689.98
1134,698.08
1135,699.5
1136,708.05
1137,719.12
1138,723.62
1139,721.58
1140,725.73
1141,722.71
1142,729.89
1143,737.33
1144,740.36
1145,741.86
1146,740.67
1147,739.04
1148,738.28
1149,747.04
1150,772.71
1151,761.09
1152,768.69
1153,767.18
1154,772.22
1155,773.78
1156,782.0
1157,781.1
1158,783.75
1159,785.0
1160,781.5
1161,783.75
1162,780.3
1163,777.32
1164,780.01
1165,775.0
1166,773.27
1167,775.48
1168,770.58
1169,767.0
1170,769.0
1171,768.74
1172,769.33
1173,767.01
1174,769.25
1175,773.01
1176,773.45
1177,780.0
1178,778.59
1179,770.1
1180,755.13
1181,764.48
1182,759.61
1183,762.89
1184,769.75
1185,772.42
1186,769.0
1187,772.66
1188,780.0
1189,786.59
1190,782.74
1191,775.5
1192,777.85
1193,781.44
1194,776.33
1195,774.25
1196,776.03
1197,779.31
1198,779.0
1199,779.66
1200,777.71
1201,786.66
1202,783.76
1203,781.22
1204,781.65
1205,779.8
1206,787.85
1207,798.24
1208,803.3
1209,795.0
1210,804.9
1211,816.68
1212,806.34
1213,801.0
1214,808.35
1215,795.47
1216,782.89
1217,778.2
1218,767.25
1219,750.66
1220,774.5
1221,783.4
1222,779.94
1223,791.17
1224,756.54
1225,755.6
1226,746.97
1227,755.2
1228,766.92
1229,771.37
1230,762.61
1231,772.63
1232,767.73
1233,764.26
1234,760.0
1235,771.53
1236,770.07
1237,757.44
1238,744.59
1239,757.71
1240,764.73
1241,761.0
1242,772.48
1243,780.0
1244,785.04
1245,793.9
1246,797.4
1247,797.34
1248,800.4
1249,790.22
1250,796.76
1251,795.84
1252,792.36
1253,790.9
1254,790.68
1255,793.7
1256,783.33
1257,782.75
1258,778.81
1259,788.36
1260,786.08
1261,795.26
1262,806.4
1263,807.86
1264,805.0
1265,807.14
1266,807.48
1267,807.08
1268,805.81
1269,805.12
1270,806.91
1271,807.25
1272,822.3
1273,829.62
1274,837.81
1275,834.71
1276,814.66
1277,796.86
