,Symptoms,Conditions
18,"['hacking cough', 'lower abdominal bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Swine Influenza', 'Fair match')]"
19,"['hacking cough', 'upper belly bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Swine Influenza', 'Fair match')]"
20,"['coughing attacks', 'bloating']","[('Whooping Cough', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
21,"['coughing attacks', 'abdominal bloating']","[('Whooping Cough', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
22,"['coughing attacks', 'lower belly bloating']","[('Whooping Cough', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
23,"['coughing attacks', 'lower abdominal bloating']","[('Whooping Cough', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
24,"['coughing attacks', 'upper belly bloating']","[('Whooping Cough', 'Moderate match'), ('Asthma (teen And Adult)', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
25,"['wet cough', 'bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
26,"['wet cough', 'abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
27,"['wet cough', 'lower belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
28,"['wet cough', 'lower abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
29,"['wet cough', 'upper belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
30,"['forceful cough', 'bloating']","[('Lung Cancer (non Small Cell)', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
31,"['forceful cough', 'abdominal bloating']","[('Lung Cancer (non Small Cell)', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
32,"['forceful cough', 'lower belly bloating']","[('Lung Cancer (non Small Cell)', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
33,"['forceful cough', 'lower abdominal bloating']","[('Lung Cancer (non Small Cell)', 'Fair match'), ('Whooping Cough', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
34,"['forceful cough', 'upper belly bloating']","[('Whooping Cough', 'Fair match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
35,"['barky cough', 'bloating']","[('Irritable Bowel Syndrome', 'Low match'), ('Lactose Intolerance', 'Low match'), ('Gas', 'Low match')]"
36,"['barky cough', 'abdominal bloating']","[('Irritable Bowel Syndrome', 'Low match'), ('Lactose Intolerance', 'Low match'), ('Gas', 'Low match')]"
37,"['barky cough', 'lower belly bloating']","[('Uterine Fibroids', 'Fair match')]"
38,"['barky cough', 'lower abdominal bloating']",[]
39,"['barky cough', 'upper belly bloating']","[('Irritable Bowel Syndrome', 'Low match'), ('Lactose Intolerance', 'Low match')]"
40,"['morning cough', 'bloating']","[('Bronchitis', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
41,"['morning cough', 'abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
42,"['morning cough', 'lower belly bloating']","[('Bronchitis', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
43,"['morning cough', 'lower abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
44,"['morning cough', 'upper belly bloating']","[('Bronchitis', 'Moderate match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
45,"['non-productive cough', 'bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
46,"['non-productive cough', 'abdominal bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
47,"['non-productive cough', 'lower belly bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
48,"['non-productive cough', 'lower abdominal bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
49,"['non-productive cough', 'upper belly bloating']","[('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Emphysema', 'Fair match'), ('Mycoplasma Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
50,"['cough out mucus', 'bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
51,"['cough out mucus', 'abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
52,"['cough out mucus', 'lower belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
53,"['cough out mucus', 'lower abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
54,"['cough out mucus', 'upper belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
55,"['coughing up phlegm', 'bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
56,"['coughing up phlegm', 'abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
57,"['coughing up phlegm', 'lower belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
58,"['coughing up phlegm', 'lower abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
59,"['coughing up phlegm', 'upper belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
60,"['cough with drinking', 'bloating']","[('Aspiration Pneumonia', 'Fair match')]"
61,"['cough with drinking', 'abdominal bloating']","[('Aspiration Pneumonia', 'Fair match')]"
62,"['cough with drinking', 'lower belly bloating']","[('Aspiration Pneumonia', 'Fair match'), ('Uterine Fibroids', 'Fair match')]"
63,"['cough with drinking', 'lower abdominal bloating']","[('Aspiration Pneumonia', 'Fair match')]"
64,"['cough with drinking', 'upper belly bloating']","[('Aspiration Pneumonia', 'Fair match')]"
65,"['cough with eating', 'bloating']","[('Aspiration Pneumonia', 'Fair match')]"
66,"['cough with eating', 'abdominal bloating']","[('Aspiration Pneumonia', 'Fair match')]"
67,"['cough with eating', 'lower belly bloating']","[('Aspiration Pneumonia', 'Fair match'), ('Uterine Fibroids', 'Fair match')]"
68,"['cough with eating', 'lower abdominal bloating']","[('Aspiration Pneumonia', 'Fair match')]"
69,"['cough with eating', 'upper belly bloating']","[('Aspiration Pneumonia', 'Fair match')]"
70,"['cough with swallowing', 'bloating']","[('Aspiration Pneumonia', 'Fair match')]"
71,"['cough with swallowing', 'abdominal bloating']","[('Aspiration Pneumonia', 'Fair match')]"
72,"['cough with swallowing', 'lower belly bloating']","[('Aspiration Pneumonia', 'Fair match'), ('Uterine Fibroids', 'Fair match')]"
73,"['cough with swallowing', 'lower abdominal bloating']","[('Aspiration Pneumonia', 'Fair match'), ('Uterine Fibroids', 'Fair match')]"
74,"['cough with swallowing', 'upper belly bloating']","[('Aspiration Pneumonia', 'Fair match')]"
75,"['vomiting after cough', 'bloating']","[('Whooping Cough', 'Moderate match'), ('Viral Gastroenteritis', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
76,"['vomiting after cough', 'abdominal bloating']","[('Whooping Cough', 'Moderate match'), ('Viral Gastroenteritis', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
77,"['vomiting after cough', 'lower belly bloating']","[('Whooping Cough', 'Moderate match'), ('Uterine Fibroids', 'Fair match'), ('Viral Gastroenteritis', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Common Cold', 'Fair match')]"
78,"['vomiting after cough', 'lower abdominal bloating']","[('Whooping Cough', 'Moderate match'), ('Viral Gastroenteritis', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
79,"['vomiting after cough', 'upper belly bloating']","[('Whooping Cough', 'Moderate match'), ('Viral Gastroenteritis', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Common Cold', 'Fair match'), ('Intestinal Obstruction', 'Fair match')]"
80,"['coughing up blood', 'bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Pulmonary Embolism', 'Fair match'), ('Lung Cancer (non Small Cell)', 'Fair match')]"
81,"['coughing up blood', 'abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Pulmonary Embolism', 'Fair match'), ('Lung Cancer (non Small Cell)', 'Fair match')]"
82,"['coughing up blood', 'lower belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Pulmonary Embolism', 'Fair match'), ('Lung Cancer (non Small Cell)', 'Fair match')]"
83,"['coughing up blood', 'lower abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Embolism', 'Fair match'), ('Lung Cancer (small Cell)', 'Fair match'), ('Bronchitis', 'Fair match')]"
84,"['coughing up blood', 'upper belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Pulmonary Embolism', 'Fair match'), ('Lung Cancer (non Small Cell)', 'Fair match')]"
85,"['coughing at night', 'bloating']","[('Heartburn/GERD', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Drug Allergy', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
86,"['coughing at night', 'abdominal bloating']","[('Congestive Heart Failure', 'Fair match'), ('Heartburn/GERD', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Drug Allergy', 'Fair match'), ('Diastolic Heart Failure', 'Fair match')]"
87,"['coughing at night', 'lower belly bloating']","[('Congestive Heart Failure', 'Fair match'), ('Heartburn/GERD', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Drug Allergy', 'Fair match'), ('Diastolic Heart Failure', 'Fair match')]"
88,"['coughing at night', 'lower abdominal bloating']","[('Congestive Heart Failure', 'Fair match'), ('Heartburn/GERD', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Drug Allergy', 'Fair match'), ('Diastolic Heart Failure', 'Fair match')]"
89,"['coughing at night', 'upper belly bloating']","[('Heartburn/GERD', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Drug Allergy', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
90,"['productive cough with phlegm', 'bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
91,"['productive cough with phlegm', 'abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
92,"['productive cough with phlegm', 'lower belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
93,"['productive cough with phlegm', 'lower abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
94,"['productive cough with phlegm', 'upper belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match')]"
95,"['cough up pink material', 'bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
96,"['cough up pink material', 'abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
97,"['cough up pink material', 'lower belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
98,"['cough up pink material', 'lower abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
99,"['cough up pink material', 'upper belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
100,"['cough up pink gunk', 'bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
101,"['cough up pink gunk', 'abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
102,"['cough up pink gunk', 'lower belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
103,"['cough up pink gunk', 'lower abdominal bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
104,"['cough up pink gunk', 'upper belly bloating']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Pulmonary Edema', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
105,"['cough out thick mucus', 'bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
106,"['cough out thick mucus', 'abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
107,"['cough out thick mucus', 'lower belly bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
108,"['cough out thick mucus', 'lower abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
109,"['cough out thick mucus', 'upper belly bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
110,"['cough out thick phlegm', 'bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
111,"['cough out thick phlegm', 'abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
112,"['cough out thick phlegm', 'lower belly bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
113,"['cough out thick phlegm', 'lower abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Uterine Fibroids', 'Fair match')]"
114,"['cough out thick phlegm', 'upper belly bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
115,"['coughing up thick phlegm', 'bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
116,"['coughing up thick phlegm', 'abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
117,"['coughing up thick phlegm', 'lower belly bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
118,"['coughing up thick phlegm', 'lower abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Uterine Fibroids', 'Fair match')]"
119,"['coughing up thick phlegm', 'upper belly bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
120,"['cough up thick gunk', 'bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
121,"['cough up thick gunk', 'abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
122,"['cough up thick gunk', 'lower belly bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
123,"['cough up thick gunk', 'lower abdominal bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
124,"['cough up thick gunk', 'upper belly bloating']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
125,"['cough out white mucus', 'bloating']","[('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
